SKU;Producto;Categoría;Variante;Precio (₲);Precio antes (₲);Stock;Descripción;Marca;IVA;Slug;Fotos
LI-NAN-S;Conjunto Ñandutí;Conjuntos;Talle S;185000;;3;Corpiño y bombacha en marfil con encaje ñandutí bordado a mano en Itauguá. Cada pieza lleva días de trabajo y ninguna es idéntica a otra.;Lencería Íntima;10;conjunto-nanduti;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165432_d2902f3b-00a4-4050-bd64-c5c30e359f5e.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165434_d932ad64-2a75-43d5-b6a1-38d0b9a0393d.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_f4d5832e-057d-4dbb-a3f7-94bfcd866e1a.png
LI-NAN-M;Conjunto Ñandutí;Conjuntos;Talle M;185000;;4;;;10;conjunto-nanduti;
LI-NAN-L;Conjunto Ñandutí;Conjuntos;Talle L;185000;;3;;;10;conjunto-nanduti;
LI-AMA-S;Conjunto Amanecer;Conjuntos;Talle S;175000;;3;Bralette y culotte de encaje coral, tiro alto. Un conjunto alegre y cómodo, cosido a mano en Paraguay.;Lencería Íntima;10;conjunto-amanecer;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165505_4e6f0b97-cc8f-447d-b356-ffb193a8b443.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165458_86f8d8ab-b8e5-494d-91c9-5a0bbc87cdd8.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_42265406-d209-4219-ae5e-24c403e431b4.png
LI-AMA-M;Conjunto Amanecer;Conjuntos;Talle M;175000;;4;;;10;conjunto-amanecer;
LI-AMA-L;Conjunto Amanecer;Conjuntos;Talle L;175000;;3;;;10;conjunto-amanecer;
LI-YVO-S;Corpiño Yvoty;Corpiños;Talle S;95000;;4;Triángulo sin aro en algodón ao po'i blanco, liviano y fresco para el calor de Asunción. Bordado a mano, cosido en casa.;Lencería Íntima;10;corpino-yvoty;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165505_36f6d092-e405-41a7-a51e-95c98ee1e7e6.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165455_51eb5576-b8d1-4258-ac96-a6dc5aec193c.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_3a37c8ff-2cba-410c-a56c-13e017a467e6.png
LI-YVO-M;Corpiño Yvoty;Corpiños;Talle M;95000;;5;;;10;corpino-yvoty;
LI-YVO-L;Corpiño Yvoty;Corpiños;Talle L;95000;;4;;;10;corpino-yvoty;
LI-TAC-S;Bralette Tacurú;Corpiños;Talle S;110000;;3;Bralette tejido a crochet en algodón terracota, con tiras para anudar. Cada uno tarda una tarde entera en tejerse.;Lencería Íntima;10;bralette-tacuru;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165432_b86530ba-bf56-4591-96d8-a75735b08a94.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165433_1cb6e5c7-118c-450b-8c4f-1647a6c646d0.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_8c354f19-02d9-4fe0-abcc-7198ab2f5d58.png
